distance_km,cost
18.74,51812.0
15.26,44143.0
9.9,30954.0
23.09,62925.0
4.04,14538.0
26.27,72023.0
11.84,34808.0
28.56,77749.0
9.34,27795.0
10.71,31648.0
12.77,37513.0
25.3,68708.0
1.83,10261.0
22.31,60375.0
16.34,46424.0
26.31,70897.0
22.86,61701.0
7.62,25407.0
5.9,18920.0
24.86,68422.0
12.53,35176.0
3.56,13315.0
11.1,31442.0
20.48,56475.0
10.15,31797.0
9.94,29170.0
14.76,42167.0
14.49,41162.0
13.12,37072.0
24.92,67450.0
6.04,19562.0
5.54,18606.0
4.7,16245.0
1.67,8858.0
6.07,19080.0
28.16,76039.0
21.32,57757.0
19.6,55494.0
7.7,24678.0
3.26,12265.0
5.19,19136.0
19.24,53339.0
24.94,66760.0
1.75,10789.0
16.94,48715.0
26.98,72358.0
24.92,66175.0
1.17,7884.0
12.94,37667.0
22.99,61447.0
22.03,59806.0
4.31,14448.0
27.33,73381.0
11.1,32724.0
26.52,72545.0
25.49,67602.0
1.92,9139.0
23.9,64161.0
7.17,24060.0
9.63,29672.0
26.28,72014.0
22.08,59050.0
1.85,8972.0
6.25,19476.0
16.83,48392.0
13.28,37960.0
8.35,27130.0
26.41,70011.0
26.07,69417.0
7.88,24093.0
19.42,53300.0
9.67,29086.0
1.97,9308.0
27.65,75193.0
1.31,6832.0
13.8,39322.0
15.0,42598.0
29.41,77449.0
16.18,46568.0
15.43,42300.0
16.35,45012.0
5.64,19981.0
7.75,23637.0
6.7,21419.0
13.88,38379.0
21.24,57857.0
10.34,30182.0
8.0,25595.0
21.29,59368.0
5.23,16994.0
28.43,75397.0
23.46,63734.0
8.06,25361.0
5.25,18929.0
10.69,32313.0
25.74,70593.0
3.39,13589.0
2.63,12130.0
28.52,75395.0
20.19,54998.0
10.49,30926.0
6.89,21398.0
14.14,41609.0
10.47,30789.0
18.42,51645.0
13.37,39626.0
13.56,39427.0
1.74,9555.0
28.59,75252.0
23.7,65443.0
27.96,75761.0
2.44,10697.0
10.64,30761.0
18.24,49253.0
3.73,13087.0
12.34,34438.0
28.61,75815.0
26.98,73192.0
27.01,73123.0
11.59,35397.0
12.38,34452.0
29.62,78453.0
3.04,11210.0
13.38,37403.0
16.64,45882.0
13.14,37594.0
3.37,14838.0
20.13,55349.0
29.22,78835.0
23.46,63922.0
12.39,35214.0
25.82,68925.0
25.79,70041.0
11.43,33545.0
23.46,62906.0
29.41,77555.0
7.9,24149.0
27.94,73566.0
28.47,76571.0
17.54,48858.0
29.27,76863.0
1.64,8313.0
5.76,18376.0
14.4,41449.0
22.89,61455.0
27.66,74691.0
17.93,48765.0
12.13,34310.0
16.89,46771.0
19.38,54404.0
20.74,56759.0
22.67,61057.0
27.67,74289.0
24.54,66226.0
29.36,78871.0
17.71,49422.0
23.05,61468.0
19.63,54623.0
2.64,11336.0
2.62,12864.0
26.24,70404.0
18.93,51000.0
18.0,49715.0
23.09,61635.0
25.57,69549.0
1.68,9414.0
29.88,81040.0
2.01,9370.0
11.14,33925.0
4.87,18528.0
20.01,55966.0
17.79,49749.0
23.12,62519.0
24.61,67911.0
5.32,17621.0
14.49,41764.0
9.7,28739.0
5.12,18976.0
19.94,54155.0
7.78,23377.0
1.09,6916.0
19.15,53674.0
8.11,26635.0
8.86,26793.0
13.21,38111.0
10.95,31211.0
22.35,60571.0
3.51,12563.0
2.95,12414.0
12.04,36599.0
28.2,76450.0
6.02,21204.0
29.55,79726.0
6.83,22899.0
12.91,38714.0
3.23,12850.0
6.81,21488.0
16.97,47710.0
23.7,63643.0
7.84,23300.0
3.05,11551.0
20.53,54840.0
28.42,75510.0
3.58,13824.0
3.04,13741.0
28.03,74705.0
2.09,9990.0
8.62,26834.0
24.66,67322.0
11.54,32821.0
7.81,25050.0
5.86,20627.0
6.42,21929.0
19.78,53966.0
6.08,19177.0
15.58,43586.0
17.15,48496.0
2.97,12709.0
21.94,60561.0
1.22,7671.0
25.23,66623.0
25.74,70136.0
6.49,21446.0
4.22,15299.0
4.29,15180.0
20.25,55229.0
18.71,52199.0
1.81,8055.0
7.56,24442.0
8.08,24114.0
12.17,36169.0
29.48,79393.0
26.88,72392.0
6.73,20669.0
22.5,61745.0
26.41,70988.0
10.75,30817.0
2.9,11503.0
21.85,59690.0
6.33,19492.0
24.47,65523.0
28.68,78098.0
18.18,51527.0
21.7,59307.0
11.4,33414.0
19.46,52187.0
19.49,54757.0
1.79,8558.0
9.04,26729.0
24.6,65318.0
25.85,68451.0
17.27,48961.0
8.53,26414.0
17.93,51110.0
7.29,24681.0
11.51,34269.0
14.4,41104.0
26.78,72778.0
29.07,76906.0
19.24,52726.0
6.86,21303.0
10.04,29579.0
6.92,22365.0
15.75,43845.0
15.88,43709.0
13.09,36835.0
26.48,70315.0
21.75,58565.0
9.91,29549.0
9.37,28565.0
15.79,44411.0
24.46,66688.0
20.93,58475.0
11.97,33525.0
8.34,26856.0
17.8,49865.0
19.94,55520.0
26.13,71636.0
21.23,57020.0
16.84,48110.0
8.75,27505.0
26.09,70875.0
18.31,50086.0
18.07,48685.0
1.01,8337.0
23.82,65650.0
26.2,71412.0
29.49,79639.0
1.37,8958.0
20.7,55581.0
21.19,57184.0
21.52,59850.0
1.7,10526.0
24.88,68331.0
1.82,9554.0
1.48,10047.0
1.71,9125.0
1.73,10790.0
6.65,22183.0
20.04,56253.0
23.58,62910.0
15.42,44882.0
8.59,27085.0
28.56,75152.0
17.35,47009.0
21.43,59473.0
16.6,46182.0
28.44,75674.0
19.6,54991.0
6.32,20858.0
9.16,28823.0
14.19,41679.0
27.29,72514.0
11.32,34384.0
26.48,70934.0
29.37,79039.0
2.72,12035.0
14.65,42196.0
13.57,39692.0
13.0,36841.0
11.49,33445.0
8.74,27268.0
18.59,51048.0
18.62,52756.0
2.65,12137.0
23.97,63510.0
17.93,50798.0
13.17,37500.0
5.74,17888.0
9.75,29855.0
14.9,41732.0
18.98,53545.0
2.75,10888.0
5.05,16874.0
2.22,11542.0
1.16,7477.0
16.46,46845.0
12.72,35705.0
1.9,9974.0
26.0,68988.0
2.48,11365.0
16.06,44938.0
10.74,31514.0
10.81,33060.0
15.07,42278.0
8.76,27588.0
2.2,10770.0
16.99,46546.0
10.51,30800.0
7.55,23172.0
26.67,71007.0
22.27,60854.0
28.88,78288.0
16.5,47685.0
18.64,53010.0
23.32,62025.0
16.49,47698.0
12.41,37263.0
4.0,15899.0
25.87,70417.0
9.38,27251.0
22.23,60027.0
3.89,14541.0
18.9,51428.0
3.8,15863.0
10.53,31146.0
8.96,28650.0
28.85,78559.0
27.92,73435.0
6.92,22779.0
17.82,48342.0
3.76,13975.0
19.28,54306.0
6.37,19773.0
27.58,72872.0
8.84,27067.0
10.74,32384.0
21.84,58158.0
2.75,11273.0
28.76,76877.0
26.23,72023.0
11.9,34548.0
19.17,54182.0
8.72,28034.0
2.04,9039.0
7.63,25509.0
29.47,79779.0
6.35,21359.0
4.52,16583.0
25.23,67649.0
25.01,68071.0
3.56,14079.0
20.29,55694.0
26.98,72241.0
20.66,57423.0
19.58,54252.0
5.69,18010.0
3.0,13227.0
25.67,69364.0
12.5,37381.0
11.0,32261.0
27.48,73265.0
16.17,45784.0
17.93,49232.0
24.21,65739.0
2.71,10345.0
5.41,17388.0
3.77,14133.0
4.13,16187.0
27.11,73872.0
10.94,31486.0
5.8,18327.0
26.76,71272.0
27.06,72143.0
15.58,43835.0
18.61,52119.0
3.87,14304.0
28.87,78341.0
24.5,67406.0
12.68,37707.0
25.19,69236.0
6.04,20291.0
11.25,33229.0
17.8,48317.0
17.8,49491.0
12.81,37367.0
12.42,36069.0
6.62,21816.0
26.06,70410.0
11.93,33693.0
14.41,39795.0
13.77,40003.0
12.8,35593.0
5.09,17223.0
13.28,37308.0
11.3,33690.0
12.25,34730.0
27.07,71472.0
11.71,34939.0
17.67,48257.0
23.61,65481.0
9.11,28457.0
22.15,60821.0
22.48,60543.0
13.52,38116.0
12.63,35308.0
5.66,20609.0
19.77,55829.0
11.12,34043.0
13.54,39333.0
23.28,63860.0
18.86,51795.0
9.97,29329.0
26.56,70407.0
26.86,72058.0
13.62,39381.0
11.24,32316.0
13.3,39101.0
23.24,62516.0
3.3,14552.0
3.16,14359.0
